track_artist,track_popularity,track_album_release_date
Tainy,90,2019-08-22
Manuel Turizo,76,2019-08-23
J Balvin,86,2019-06-28
Reik,79,2019-05-31
Camilo,88,2019-08-09
Maluma,86,2019-05-17
Lunay,85,2019-05-10
Nicky Jam,58,2019-08-02
Mau y Ricky,82,2019-07-17
Ozuna,73,2019-07-11
Daddy Yankee,87,2019-01-24
Nicky Jam,58,2019-03-22
Maluma,23,2019-03-01
Sebastian Yatra,78,2019-01-18
Pedro Capó,86,2018-10-05
DJ Luian,83,2019-03-28
Natti Natasha,70,2019-05-01
CNCO,69,2019-02-15
Pitbull,76,2019-04-26
Prince Royce,75,2019-06-07
Daddy Yankee,80,2019-06-28
Dalex,83,2019-05-10
Mau y Ricky,71,2019-05-03
Sebastian Yatra,74,2019-03-22
Dimitri Vegas & Like Mike,81,2019-07-05
Darell,80,2019-07-12
Ozuna,59,2019-06-04
Yandel,73,2019-05-24
Becky G,73,2019-04-19
Ozuna,80,2019-04-25
KAROL G,78,2019-05-03
Becky G,76,2019-07-10
CNCO,53,2019-06-24
Wisin & Yandel,80,2018-12-14
Reykon,74,2019-05-31
Piso 21,79,2019-07-05
Rauw Alejandro,71,2019-07-08
Ozuna,64,2019-06-06
Paulo Londra,77,2019-05-23
Greeicy,71,2019-03-15
Camilo,78,2019-03-29
Myke Towers,84,2019-08-02
TINI,74,2019-05-03
Dalex,18,2019-02-07
Anuel AA,82,2019-01-15
Zion & Lennox,72,2019-05-17
Sean Paul,79,2019-03-14
Mau y Ricky,79,2018-10-12
Daddy Yankee,77,2018-11-09
Lunay,17,2018-12-07
J Balvin,77,2018-11-17
Jesse & Joy,74,2019-04-12
Sofia Reyes,76,2019-03-15
Bad Bunny,90,2019-05-31
Danny Ocean,9,2019-02-15
benny blanco,79,2019-02-28
ChocQuibTown,74,2019-02-01
Buxxi,2,2011-10-31
Carlos Vives,57,2013-04-21
Carlos Vives,52,2013-04-21
Fanny Lu,1,2006
Fonseca,6,2006-01-01
Fonseca,60,2008-01-01
Fuego,1,2011-11-02
Tony Dize,0,2010-09-20
Carlos Baute,61,2008-11-18
Sie7e,36,2011-08-02
R.K.M & Ken-Y,56,2008-01-01
Chino & Nacho,66,2010-01-01
Alkilados,0,2014-10-07
Mike Bahía,3,2014-01-22
Yámana,46,2003-12-02
Bacilos,56,2006-05-23
Joey Montana,54,2010-01-01
Fonseca,2,2005-01-01
Bacilos,55,2006-05-23
ChiChi Peralta,12,1997-07-01
Jorge Villamizar,54,2012-05-18
Wisin,59,2015-09-04
Villamizar,46,2014-04-15
Victor Muñoz,49,2009
Tony Dize,49,2013-10-25
Josue Diaz,38,2014-12-16
Donny Caballero,44,2014-01-20
Vela,38,2011-07-11
Juan Magán,1,2009-01-01
Angel Y Khriz,18,2009-01-01
Ale Mendoza,0,2013-02-18
J-King y Maximan,0,2010-01-01
Donny Caballero,34,2016-03-25
Victor Muñoz,41,2009
Pasabordo,0,2015-06-29
Fanny Lu,23,2009-01-01
Fanny Lu,57,2009-01-01
Bonka,0,2006-01-01
Sonny & Vaech,0,2014-04-12
Chino & Nacho,0,2015-05-05
Joey Montana,0,2014-07-22
Cali Y El Dandee,70,2015-09-24
Joey Montana,48,2013-01-01
Chino & Nacho,51,2011-01-01
Dragon & Caballero,41,2009
Fainal,48,2010-05-18
Erre XI,56,2008-01-01
Lil Silvio & El Vega,56,2017-01-30
Silvestre Dangond,48,2016-10-21
Danny Ocean,11,2016-09-16
Cali Y El Dandee,44,2014-08-12
Jory Boy,49,2014-06-16
Any Victoria,16,2013-12-10
Dragon & Caballero,40,2013-09-16
Marielle Hazlo,0,2015-06-18
Nacho,5,2017-04-14
Gusi & Beto,32,2011-11-14
Altafulla,0,2014-03-11
Tony Dize,33,2014-10-25
Fanny Lu,32,2012-01-01
Yotuel,40,2013-09-10
Victor Muñoz,38,2009
Los Cadillac's,48,2015-01-23
Joey Montana,45,2010-01-01
Oscarcito,39,2015-02-03
Tony Dize,0,2015-04-28
Efecto Pasillo,1,2013-11-05
Luis Fonsi,69,2017-11-17
Manuel Turizo,60,2017-08-04
Alejandro Fernandez,70,2017-01-13
Donny Caballero,44,2017-02-10
Carlos Vives,76,2017-11-10
Sanluis,0,2015-10-21
Manuel Turizo,69,2017-12-07
Greeicy,71,2017-11-03
Confidentes,0,2016-09-30
Andy Rivera,0,2017-08-25
Silvestre Dangond,68,2017-09-15
Cruz,37,2017-08-02
Joey Montana,9,2017-09-01
Carlos Vives,4,2017-01-23
Alex Sensation,7,2017-08-04
El Nene la Amenazzy,0,2016-06-24
Río Roma,9,2016-02-26
Xantos,56,2015-10-21
Dragon & Caballero,52,2009
Raes,41,2017-01-12
Ezio Oliva,55,2017-07-25
Carlos Vives,53,2016-08-09
Carlos Baute,49,2017-06-16
Alkilados,4,2015-08-25
Jesús & Yorky,0,2016-10-31
Jota Y Leo,0,2015-05-24
Cali Y El Dandee,6,2017-01-20
Juan Magán,2,2017-03-24
CNCO,59,2016-08-26
Dragon & Caballero,33,2012
Carlos Vives,57,2015-02-24
Gloria Estefan,60,1990-09-25
Gloria Estefan,44,1989-07-11
Gloria Estefan,55,1993-06-03
Gloria Estefan,51,1993
Gloria Estefan,47,1987-06-09
Gloria Estefan,52,1989-07-06
Gloria Estefan,45,1998-04-20
Gloria Estefan,40,1990-09-16
Gloria Estefan,45,1985
Gloria Estefan,45,1993-06-03
Gloria Estefan,33,1991-01-23
Gloria Estefan,39,1990-09-16
Gloria Estefan,40,1985
Gloria Estefan,44,1995-08-03
Gloria Estefan,48,1993-06-03
Gloria Estefan,51,2011-01-01
Gloria Estefan,1,1987
Gloria Estefan,36,1984
*NSYNC,43,2005-10-25
Gloria Estefan,40,1993-06-03
Gloria Estefan,42,1994-10-14
Gloria Estefan,39,2009-11-16
Gloria Estefan,37,1984
Gloria Estefan,43,1989-07-06
Gloria Estefan,37,1993-06-03
Gloria Estefan,36,2000-04-10
Gloria Estefan,45,1996-05-08
Paul Anka,44,2013-04-05
Gloria Estefan,31,2007-08-06
Gloria Estefan,0,2017-01-13
Gloria Estefan,41,1989-07-06
Gloria Estefan,34,1985
Gloria Estefan,31,2007-08-06
Gloria Estefan,33,1990-09-25
ITA - CACHAO,37,1995-08-03
Gloria Estefan,38,1989
Gloria Estefan,29,2007-08-06
Gloria Estefan,31,2000-04-10
Gloria Estefan,34,2003-08-27
Gloria Estefan,34,1994-10-14
Gloria Estefan,29,2007-08-06
Gloria Estefan,35,1990-09-25
Gloria Estefan,33,1994
Gloria Estefan,0,2017-01-13
Bacilos,68,2001-04-24
Carlos Vives,57,2001-01-01
Enghel,32,2013-05-15
RD Maravilla,0,2015-04-28
Bonka,21,2015-07-07
Mane de la Parra,0,2013-01-30
Efecto Pasillo,0,2012-05-30
Kumbia Kings,41,2008-01-01
A.B. Quintanilla III Y Los Kumbia Kings,47,2007-01-01
A.B. Quintanilla III Y Los Kumbia Kings,50,2006-01-01
Chino & Nacho,0,2009-01-01
Reik,63,2007-06-29
Reik,70,2007-06-29
Guille El Invencible,0,2010-11-01
Chino & Nacho,2,2010-01-01
Chino & Nacho,0,2010-01-01
Chino & Nacho,0,2010-01-01
Dragon & Caballero,53,2009
Dragon & Caballero,32,2012
Dragon & Caballero,27,2012
Dragon & Caballero,20,2012
Bonka,26,2015-07-07
Jerau,0,2012
Jerau,0,2012
Lucas Arnau,6,2004-06-22
Jorge Villamizar,42,2015-01-27
Victor Muñoz,46,2011-07-25
Ferdy,0,2009
El Simbolo,32,2007-11-11
Erre XI,0,2012-01-01
Jarabe De Palo,40,2003-03-28
Juanes,0,2003-01-01
Los Rabanes,45,2000-04-06
Manu Chao,10,2001-06-01
Jerau,0,2012
Jerau,0,2012
Iskander,44,2015-07-31
Pasabordo,0,2012-09-15
El Combo Loco,41,2015-01-09
El Combo Loco,48,2015-01-09
Fonseca,45,2011
Icarus,39,2011-03-17
Divino,35,2010-05-11
Gian Marco,56,1998-09-03
ChiChi Peralta,6,1997-07-01
Pasabordo,0,2013-04-30
Pasabordo,0,2012-09-15
Bacanos,0,2013-05-29
Made famous by Tito el Bambino,8,2010-12-30
Angel Y Khriz,0,2010-01-01
Fanny Lu,33,2012-01-01
Río Roma,0,2014-07-22
Afrodisiaco,0,2015-03-13
Afrodisiaco,0,2015-03-13
18 Kilates,0,2010-12-01
Rocko y Blasty,0,2015-06-02
Julieta Venegas,0,2006-05-25
Julieta Venegas,69,2003-11-18
Julieta Venegas,66,2003-11-18
Julieta Venegas,34,2007-10-08
Natalia Lafourcade,63,2002-07-05
Pasabordo,0,2008-05-16
La Quinta Estacion,62,2006-08-15
Golpe a Golpe,0,2010
Gusi & Beto,44,2009-05-21
Danilo Parra,9,2014-10-20
Danilo Parra,18,2014-10-20
Danilo Parra,6,2014-10-20
Gondwana,0,2005
Mike Bahía,0,2014-10-06
Bruno Mars,72,2010-10-05
Aleks Syntek,42,2009-01-01
Miranda!,0,2008
Elefante,66,2002-08-30
Gloria Trevi,0,2007
Fanny Lu,0,2008-01-01
Lily Allen,63,2009-01-26
Thalía,54,2000-01-01
Megastylez,25,2010-08-20
Elefante,54,2002-08-30
Rafaga,0,2000
Víctor Manuelle,40,2012
Carlos Vives,58,1995
Carlos Vives,60,1995
Fonseca,49,2015-06-02
Maroon 5,18,2004
Swedish House Mafia,58,2012-09-14
Maroon 5,51,2010
Passenger,63,2012-11-05
John Mayer,74,2008
Coldplay,52,2012-06-01
Howie Day,69,2003-11-04
Maroon 5,10,2004
WALK THE MOON,63,2015-09-04
John Mayer,72,2014-05-27
Daniel Powter,55,2005-08-16
Ed Sheeran,50,2011-06-10
James Blunt,56,2007-09-17
Maroon 5,2,2004
Jason Mraz,57,2014-09-16
3 Doors Down,11,2005
Echosmith,52,2015-02-24
The Fray,49,2007-11-13
The Fray,53,2005-10-07
Foo Fighters,69,2009-11-03
Thirty Seconds To Mars,0,2011-08-19
No Doubt,5,2002-01-01
Imagine Dragons,1,2015-04-20
Imagine Dragons,52,2013-01-01
Charlie Puth,32,2016-03-11
Jimmy Eat World,0,2001
Bryan Adams,8,1997-01-01
Paramore,47,2007-06-11
Bryan Adams,10,1997-01-01
One Direction,56,2015-10-22
Imagine Dragons,46,2013-01-01
Yellowcard,44,2013-08-13
Alanis Morissette,47,2005-05-24
Counting Crows,10,1998-01-01
Thirty Seconds To Mars,0,2007-03-13
Green Day,75,1997-10-14
Simple Plan,45,2004-10-26
KISS,0,1996-01-01
Incubus,8,1999
Paramore,50,2009-09-04
Jet,52,2009-08-25
Thirty Seconds To Mars,0,2007-03-13
Daughtry,34,2006
Seether,43,2006-01-01
Imagine Dragons,39,2013-01-01
Simple Plan,23,2004-12-14
Aerosmith,25,2005
Imagine Dragons,40,2015-05-04
Imagine Dragons,44,2015-04-20
Thirty Seconds To Mars,0,2011-08-19
Nelly Furtado,2,2008-01-01
Mumford & Sons,0,2013-01-01
Vance Joy,31,2014-11-10
Bastille,38,2014-09-07
The Kooks,31,2006-01-30
Mumford & Sons,0,2013-01-01
The All-American Rejects,23,2006-01-01
Kansas,33,2008-07-01
Simple Plan,28,2007-12-24
Pharrell Williams,18,2014-07-21
Thirty Seconds To Mars,28,2007-01-01
Jack Johnson,63,2007-06-11
All Time Low,35,2008-07-29
Foster The People,29,2014-04-15
Thirty Seconds To Mars,43,2009
Creed,40,2015-01-01
All Time Low,39,2008-07-29
Ed Sheeran,84,2014-06-21
Jack Johnson,75,2005-01-01
Ed Sheeran,83,2014-06-21
Jack Johnson,71,2005-01-01
The Kooks,28,2006-01-30
Coldplay,54,2014-11-21
Coldplay,54,2014-11-21
The Kooks,33,2006-01-30
Slash,59,2014-09-01
Saving Abel,44,2008-01-01
Jason Mraz,45,2014-09-16
John Legend,57,2013-11-22
fun.,44,2015-07-17
Owl City,29,2012-01-01
Owl City,0,2012-01-01
John Mayer,45,2006-12-12
Carlos Vives,51,2014-12-02
Jarabe De Palo,27,2006-06-23
Incubus,2,1999
Hoobastank,0,2006-01-01
Juanes,0,2012-01-01
Juanes,0,2012-01-01
Ricky Martin,46,2006-11-01
Carlos Vives,38,2014-12-02
Camila,43,2006
Juanes,0,2012-01-01
Maná,53,1999-05-14
Juanes,0,2012-01-01
Shakira,53,2000-02-29
La Ley,65,2001-08-28
Juanes,0,2012-01-01
Juanes,39,2012-01-01
Franco Masini,41,2019-11-29
Beret,68,2019-05-16
Las Villa,54,2019-10-04
Franco Masini,36,2019-09-06
Vanesa Martín,59,2019-10-25
Jorge Drexler,38,2019-11-15
V-One,34,2019-10-04
Alex Ubago,57,2019-08-02
Llane,68,2019-10-18
Andrés Calamaro,48,2019-10-18
Paula Cendejas,44,2019-07-26
Beto Cuevas,35,2019-10-11
Ed Sheeran,59,2019-07-11
Manuel Medrano,69,2019-08-09
Pilar Pascual,62,2019-02-22
LAGOS,38,2019-07-19
Tommy Torres,54,2019-06-07
Vanesa Martín,58,2018-11-16
Mike Bahía,70,2019-05-10
Paulo Londra,68,2019-05-14
Cruz,61,2019-06-28
Maná,72,2019-04-12
Paulo Londra,78,2019-04-03
#TocoParaVos,43,2019-08-23
Vanesa Martín,56,2019-05-08
Anitta,58,2019-04-05
Nil Moliner,54,2019-02-01
V-One,29,2019-03-22
Beret,67,2019-04-26
Efecto Pasillo,61,2019-01-11
Bebe,59,2004
Ximena Sariñana,54,2018-08-10
Danny Ocean,74,2019-03-22
Amigos Raros,43,2018-04-20
Danny Ocean,70,2017-12-08
Beto Cuevas,53,2019-07-05
Pablo Alborán,55,2017-09-08
Piso 21,64,2018-05-11
Nek,34,2019-07-05
Alok,45,2018-05-25
Jesse & Joy,71,2017-08-18
Efecto Pasillo,41,2017-05-26
Jorge Drexler,28,2017-08-04
Jorge Drexler,65,2001-01-01
Julia Zenko,15,2019-12-20
Las Villa,35,2020-01-17
Juan Pablo Vega,41,2020-01-17
Bunbury,51,2020-01-15
KV$HKEY,34,2019-07-12
!deladap,38,2019-11-22
Glenn Gatsby,38,2019-11-22
Tae-EM,36,2019-06-21
Cincere,24,2019-10-24
Maniaxo,35,2019-08-27
Gliffo,40,2019-11-08
Ontayd'artist,26,2019-11-17
Tiacca,34,2019-11-18
Bloodshot216,36,2019-09-17
Cannaboy,27,2019-08-05
ODILLIA,35,2019-11-01
J. Lewis,42,2019-11-08
Aruhtra,35,2019-11-15
Mari Louis,34,2019-07-27
Eazy2Cool,28,2019-08-24
Krazyp,24,2019-11-11
Michael Shynes,39,2019-11-15
Cole.45,35,2019-11-14
Marshall Milano,30,2019-11-15
The Rose Monarch,25,2019-11-15
Luis Fonsi,62,2019-02-01
Sebastian Yatra,74,2019-04-12
Luis Fonsi,79,2019-02-01
KAROL G,75,2018-11-02
Sebastian Yatra,76,2018-05-18
Luis Fonsi,68,2019-02-01
Joey Montana,65,2017-09-01
Reik,19,2018-08-31
Maluma,76,2018-05-18
Maluma,74,2018-05-18
Maluma,70,2018-05-18
Nicky Jam,72,2017-01-20
David Bisbal,71,2018-03-16
Becky G,78,2018-04-20
Becky G,43,2017-07-14
Luis Fonsi,75,2019-02-01
Piso 21,72,2018-05-11
Shakira,71,2017-05-26
Reik,77,2019-05-31
Daddy Yankee,76,2018-01-18
CNCO,71,2018-04-06
Thalía,75,2018-11-09
Nicky Jam,52,2018-03-02
Luis Fonsi,64,2019-02-01
Regard,94,2019-07-26
Arizona Zervas,71,2019-10-10
Future,93,2020-01-10
Harry Styles,91,2019-12-06
Roddy Ricch,98,2019-12-06
Doja Cat,88,2019-11-07
BROCKHAMPTON,88,2019-08-23
Mac Miller,87,2020-01-09
Camila Cabello,94,2019-12-06
The Black Eyed Peas,35,2020-01-17
Harry Styles,90,2019-11-17
Justin Bieber,95,2020-01-03
The Weeknd,98,2019-11-29
Maroon 5,98,2019-09-20
Selena Gomez,88,2020-01-10
Travis Scott,89,2019-12-27
Dua Lipa,97,2019-10-31
Tones and I,92,2019-08-29
Megan Thee Stallion,77,2020-01-10
Trevor Daniel,97,2018-10-05
Khalid,83,2020-01-09
Halsey,86,2020-01-10
Alicia Keys,73,2020-01-09
Khalid,87,2019-11-14
Billie Eilish,97,2019-11-13
Selena Gomez,93,2019-10-23
Alan Walker,85,2019-12-27
Doja Cat,85,2018-03-30
Harry Styles,74,2019-10-11
French Montana,75,2019-12-06
Usher,73,2019-12-13
Travis Scott,94,2019-10-04
Lewis Capaldi,90,2019-11-19
KAYTRANADA,67,2019-12-13
JP Saxe,88,2019-10-17
Post Malone,98,2019-09-06
Ant Saunders,62,2019-06-18
Shawn Mendes,93,2019-06-21
Tyga,91,2019-11-13
Lewis Capaldi,94,2019-05-17
Lil Nas X,90,2019-06-21
BTS,83,2019-10-18
The Chainsmokers,62,2019-07-24
blackbear,94,2019-08-23
Khalid,81,2018-10-18
Y2K,91,2019-06-28
Ed Sheeran,91,2019-07-12
Miley Cyrus,81,2019-08-16
Camila Cabello,87,2019-09-04
Lil Nas X,84,2019-06-21
Halsey,87,2019-09-13
Khalid,75,2019-04-05
Travis Scott,87,2018-08-03
The Chainsmokers,67,2019-07-24
Chris Brown,71,2019-06-25
Khalid,82,2019-04-05
Selena Gomez,86,2019-10-24
Chris Brown,85,2019-06-28
Kygo,81,2018-10-26
Kygo,87,2019-06-28
Noah Cyrus,88,2019-07-31
Marshmello,85,2019-06-21
Ruel,74,2019-04-30
The Chainsmokers,85,2016-07-29
Sam Smith,91,2019-07-19
Post Malone,90,2019-09-06
Zara Larsson,74,2019-06-21
Dennis Lloyd,74,2019-02-15
Dominic Fike,86,2018-10-16
Ed Sheeran,90,2019-05-10
Silk City,81,2018-09-06
Riton,86,2019-09-13
Drake,88,2019-06-15
Sia,75,2019-04-12
Jonas Brothers,86,2019-06-07
Normani,83,2019-08-16
SAINt JHN,72,2019-09-13
MEDUZA,88,2019-02-01
King Princess,79,2018-02-23
Post Malone,88,2018-12-14
Ed Sheeran,89,2019-06-28
Mark Ronson,79,2018-11-30
Young Thug,86,2019-11-01
Kina,85,2018-08-31
Khalid,70,2019-04-05
"Tyler, The Creator",84,2019-05-17
Billie Eilish,83,2019-07-11
Ariana Grande,87,2019-02-08
Maren Morris,76,2019-10-04
Mabel,85,2019-01-18
Sam Fischer,76,2019-12-13
DJ Khaled,71,2019-05-17
Shawn Mendes,84,2019-05-03
Rick Ross,69,2019-07-26
Starjack,45,2018-12-10
Jaycen A'mour,38,2019-01-11
Jenil,36,2019-04-26
Jenil,34,2019-08-30
Chriilz,33,2019-06-21
The Outset,4,2020-01-17
Able Faces,7,2020-01-17
Djumpers,7,2020-01-10
Tommy Mc,16,2020-01-10
Catlea,41,2019-11-15
Catlea,35,2019-06-05
Roderic H,33,2020-01-10
Mama Cleo,27,2019-05-23
Tess Posner,37,2020-01-10
The Kemist,34,2019-12-06
ALESSIA RAISI,35,2019-11-01
Saavan,33,2019-11-15
Cabela and Schmitt,37,2017-04-28
Solarrio,43,2019-11-20
Indika,37,2019-12-06
Nice Cut,23,2019-02-18
ØZWALD,38,2019-11-15
Erwin de Ruiter,31,2017-09-28
Burningfields,27,2019-10-25
RYOKER,35,2019-12-06
Mizbee,34,2019-12-13
Carly and Martina,45,2019-12-13
Royse,44,2019-11-01
Royse,38,2018-11-09
Royse,38,2019-05-10
Julian Kerins,41,2017-11-13
Nelson Leeroy,22,2020-01-10
Luke Helmond,42,2019-12-13
Cabela and Schmitt,44,2019-12-28
Løyd,30,2019-10-25
Steve Medea,41,2019-10-12
Royse,38,2019-08-16
RoSaWay,23,2019-11-15
Alex Zind,52,2019-12-20
Pat Michaels,33,2019-10-18
Kenza Blanka,29,2020-01-04
Tolento Jones,33,2019-07-26
L E O,15,2019-05-19
Eclectic Sound,6,2020-01-15
Mynox,25,2019-12-27
Cranberry Dolphin,26,2019-12-25
Orrin,29,2019-05-16
Derrick Ryan,30,2019-12-27
Chris Espo,34,2019-12-31
Fee Gonzales,29,2019-12-25
Betty Moon,21,2019-07-10
Sôra,28,2019-03-29
DJ Eggs,18,2019-02-08
E Z R A,25,2019-12-27
Løyd,34,2019-10-25
Guaraná,45,2001-02-05
Chili Fernandez,0,2004-05-19
Jimmy Bad Boy,33,2016-08-25
Carlos Baute,60,2005-06-07
Andy Aguilera,36,2016-08-04
Jay y el Punto,20,2008-06-16
Gian Marco,53,2004-07-19
Erika Ender,40,2007-07-03
Diego Torres,47,2008-07-15
Fonseca,36,2013-11-05
Cabas,48,2008-05-06
Calle Ciega,46,2005
Nicky Jam,74,2017-01-20
Gente De Zona,73,2016-04-22
Carlos Vives,73,2017-11-10
Danny Ocean,77,2017-06-16
J Balvin,70,2016-06-24
Daddy Yankee,71,2012-01-01
Romeo Santos,76,2014-02-25
Wisin,76,2017-12-01
Marc Anthony,75,2013-07-23
Enrique Iglesias,68,2014-01-01
Maluma,72,2015-10-30
Nicky Jam,68,2014-09-09
Don Omar,75,2010-01-01
Zion & Lennox,74,2016-09-30
Chino & Nacho,72,2016-02-19
Nicky Jam,71,2017-01-20
Enrique Iglesias,72,2016-04-18
J Balvin,70,2013-09-29
Sebastian Yatra,72,2018-05-18
Daddy Yankee,65,2015-03-12
Shakira,76,2017-05-26
Prince Royce,70,2013-10-08
IAmChino,6,2016-02-22
Enrique Iglesias,74,2017-02-24
J Balvin,69,2014-09-16
Wisin,68,2017-12-01
Maluma,65,2015-10-30
Shakira,70,2017-05-26
Daddy Yankee,68,2016-04-08
Manuel Turizo,73,2017-04-10
Gente De Zona,62,2016-04-22
Ricky Martin,69,2015-02-10
Natti Natasha,77,2017-09-01
Wisin,64,2014-03-18
Nacho,63,2018-05-11
Don Omar,65,2016-11-11
Ozuna,72,2017-08-25
Plan B,1,2014-09-09
Wisin & Yandel,69,2012-01-01
Prince Royce,69,2017-02-24
Alexis y Fido,61,2018-01-12
Calle 13,73,2005
Don Omar,57,2012-01-01
Juan Magán,56,2012-05-14
Farruko,63,2016-02-22
Jacob Forever,57,2016-07-15
Gente De Zona,4,2016-04-22
Don Omar,58,2015-06-16
Ozuna,71,2017-08-25
Chayanne,66,2014-08-25
Wisin & Yandel,69,2005-01-01
Zion & Lennox,55,2016-09-30
Zion,3,2012-08-20
Wisin & Yandel,66,2007-01-01
Wisin & Yandel,68,2005-01-01
Chino & Nacho,51,2015-05-05
Elvis Crespo,50,2015
Ñejo & Dalmata,68,2007-01-01
J Alvarez,40,2014-02-18
Mach & Daddy,67,2005-01-01
Plan B,0,2014-09-09
Justin Quiles,62,2017-03-10
Cosculluela,65,2010-01-01
Baby Rasta & Gringo,53,2015-08-21
Arcangel,0,2015-12-11
J-King y Maximan,54,2010-01-01
Ivy Queen,49,2006-11-14
R.K.M & Ken-Y,63,2016-11-04
Tego Calderon,71,2003-07-01
Tego Calderon,61,2009-11-10
Tony Dize,62,2006-01-01
R.K.M & Ken-Y,62,2016-11-04
Omega,20,2010
Randy,61,2013-07-09
Casa De Leones,61,2007-06-12
Jowell & Randy,53,2010-01-01
R.K.M & Ken-Y,63,2016-11-04
Ñejo & Dalmata,48,2007-01-01
Angel Y Khriz,68,2008
Aventura,74,2005-04-26
Zion & Lennox,66,2004-05-04
"Héctor ""El Father""",65,2006-01-01
Wisin & Yandel,64,2007-01-01
El Gran Combo De Puerto Rico,55,1979
El Gran Combo De Puerto Rico,55,1982
El Gran Combo De Puerto Rico,59,2001
El Gran Combo De Puerto Rico,48,2010-03-30
Marc Anthony,71,2018-09-28
Maluma,74,2018-08-10
Víctor Manuelle,54,2018-03-23
J Balvin,88,2019-11-15
Camilo,77,2019-10-15
Danna Paola,81,2019-08-29
Dimitri Vegas & Like Mike,74,2019-11-29
Kyngs,36,2018-01-16
Los Angeles Azules,63,2019-06-14
Ghetto Kids,79,2019-06-20
Jennifer Lopez,68,2019-10-11
Emir Pabón,50,2019-11-29
Ivy Queen,50,2019-10-25
Piso 21,86,2019-09-06
Danny Ocean,77,2019-03-22
Juanes,78,2019-09-06
Los Auténticos Decadentes,74,2018-10-05
Don Patricio,79,2019-01-27
María José,64,2019-05-10
Dayvi,83,2018-12-28
Said P.,43,2019-10-11
Mon Laferte,62,2018-11-09
Matisse,74,2019-04-05
María José,65,2019-06-07
Ed Maverick,78,2018-03-02
Kalimba,45,2019-07-19
Chucho Flash,39,2019-06-28
Natalia Jiménez,54,2019-08-09
Emilio,54,2019-06-21
Mon Laferte,56,2019-08-04
David Bisbal,62,2019-08-29
Jesse & Joy,73,2018-11-23
Gloria Trevi,50,2019-05-31
Mon Laferte,54,2019-07-05
Los Angeles Azules,69,2018-06-08
Gloria Trevi,59,2019-05-03
Percance,28,2017-09-08
María José,51,2019-01-25
Noel Schajris,54,2018-11-30
Alejandro Sanz,73,2019-03-28
Magneto,43,2019-03-29
Dulce López,8,2019-03-08
Yuridia,54,2017-11-24
Monsieur Periné,48,2018-05-18
Gloria Trevi,54,2019-01-18
Carlos Rivera,68,2018-09-07
Ximena Sariñana,60,2018-11-09
Ventino,57,2019-02-08
Mon Laferte,54,2018-09-07
KURT,49,2018-12-10
Paty Cantú,63,2018-10-19
Ventino,55,2018-08-17
Chucho Rivas,56,2019-02-08
Camila,8,2019-01-25
Luis Fonsi,66,2019-01-23
Ximena Sariñana,36,2019-01-18
Yahir,33,2019-01-25
ROSALÍA,73,2018-11-02
Río Roma,65,2019-02-08
Alejandro Sanz,59,2019-02-07
Carlos Baute,19,2019-02-08
Motel,2,2019-01-25
Leonel García,1,2018-09-21
Juanes,68,2019-01-11
Los Angeles Azules,58,2018-04-20
KURT,43,2019-01-25
Lucah,54,2019-02-08
Laura Pausini,62,2018-03-16
Chucho Rivas,18,2018-07-27
Ana Torroja,48,2019-02-15
Jorge Blanco,26,2019-02-14
Ximena Sariñana,63,2019-03-01
Gloria Trevi,47,2019-03-01
Kany Garcia,6,2019-03-01
Roco,20,2019-02-22
Mando,17,2019-02-22
Bomba Estéreo,50,2019-03-29
Maria Daniela Y Su Sonido Lasser,44,2019-03-29
Mon Laferte,58,2019-09-04
Adexe & Nau,51,2017-05-05
Elsa y Elmar,60,2019-05-17
Elsa y Elmar,54,2019-05-17
Jhay Cortez,84,2019-05-17
Juan Luis Guerra 4.40,49,2019-04-26
Marc Anthony,9,2019-04-19
PeeWee,39,2019-04-11
Carlos Baute,37,2019-05-03
Rubén Blades,27,2019-05-03
Leslie Shaw,59,2019-03-08
Gian Marco,57,2019-05-03
Carlos Vives,61,2019-03-01
Jósean Log,56,2019-04-23
Reik,8,2019-03-20
Lérica,61,2019-01-17
Fanny Lu,45,2019-05-17
Juan Luis Guerra 4.40,28,2019-05-10
Juan Magán,50,2019-05-09
Elvis Crespo,38,2019-05-10
Molina Molina,20,2019-05-17
Madonna,43,2019-05-09
Gente De Zona,64,2019-05-24
Fonseca,65,2018-11-09
Marc Anthony,68,2019-05-10
Nacho,50,2019-08-09
Karibe Orquesta,52,2018-08-12
Piso 21,83,2018-12-14
Residente,77,2019-07-26
Alejandro Gonzalez,59,2019-09-06
Shawn Mendes,88,2019-06-19
IAmChino,59,2016-02-22
Farruko,63,2019-04-26
TINI,71,2018-10-12
Farruko,76,2019-04-26
"Tito ""El Bambino""",65,2019-05-31
Lali,50,2018-08-10
Gusttavo Lima,64,2019-10-04
Nahuel Pennisi,46,2019-10-18
Profetas,22,2019-10-18
Izone,36,2019-10-18
Benjamín Amadeo,58,2019-10-03
Rombai,64,2019-08-23
Alex Rose,76,2019-11-08
Maffio,77,2019-03-29
Afrodisiaco,25,2019-11-22
Pitbull,47,2018-07-06
Felibena,4,2020-01-17
WVLNGTH,7,2020-01-17
HARRI BEST,6,2018-10-09
Melleefresh,24,2019-10-04
Rewind,23,2020-01-14
Chris2pher,35,2019-12-20
TRUTHR,28,2019-12-20
NEEVE,27,2019-10-18
ENCR,28,2019-12-31
Mija,49,2019-12-20
